ID	ORF	Gene Symbol	Description	SPOT_ID
10	10	10	NAT2	N-acetyltransferase2(arylamineN-acetyltransferase)	
100	100	100	ADA	adenosinedeaminase	
1000	1000	1000	CDH2	cadherin2,type1,N-cadherin(neuronal)	
10000	10000	10000	AKT3	v-aktmurinethymomaviraloncogenehomolog3(proteinkinaseB,gamma)	
10001	10001	10001	MED6	mediatorcomplexsubunit6	
10002	10002	10002	NR2E3	nuclearreceptorsubfamily2,groupE,member3	
10003	10003	10003	NAALAD2	N-acetylatedalpha-linkedacidicdipeptidase2	
10004	10004	10004	NAALADL1	N-acetylatedalpha-linkedacidicdipeptidase-like1	
10005	10005	10005	ACOT8	acyl-CoAthioesterase8	
10006	10006	10006	ABI1	abl-interactor1	
10007	10007	10007	GNPDA1	glucosamine-6-phosphatedeaminase1	
10009	10009	10009	ZBTB33	zincfingerandBTBdomaincontaining33	
1001	1001	1001	CDH3	cadherin3,type1,P-cadherin(placental)	
10010	10010	10010	TANK	TRAFfamilymember-associatedNFKBactivator	
10013	10013	10013	HDAC6	histonedeacetylase6	
10014	10014	10014	HDAC5	histonedeacetylase5	
10015	10015	10015	PDCD6IP	programmedcelldeath6interactingprotein	
10016	10016	10016	PDCD6	programmedcelldeath6	
10017	10017	10017	BCL2L10	BCL2-like10(apoptosisfacilitator)	
10018	10018	10018	BCL2L11	BCL2-like11(apoptosisfacilitator)	
10019	10019	10019	SH2B3	SH2Badaptorprotein3	
1002	1002	1002	CDH4	cadherin4,type1,R-cadherin(retinal)	
10020	10020	10020	GNE	glucosamine(UDP-N-acetyl)-2-epimerase/N-acetylmannosaminekinase	
10021	10021	10021	HCN4	hyperpolarizationactivatedcyclicnucleotide-gatedpotassiumchannel4	
10022	10022	10022	INSL5	insulin-like5	
10023	10023	10023	FRAT1	frequentlyrearrangedinadvancedT-celllymphomas	
10024	10024	10024	TROAP	trophininassociatedprotein(tastin)	
10025	10025	10025	MED16	mediatorcomplexsubunit16	
10026	10026	10026	PIGK	phosphatidylinositolglycananchorbiosynthesis,classK	
1003	1003	1003	CDH5	cadherin5,type2(vascularendothelium)	
10036	10036	10036	CHAF1A	chromatinassemblyfactor1,subunitA(p150)	
10038	10038	10038	PARP2	poly(ADP-ribose)polymerase2	
10039	10039	10039	PARP3	poly(ADP-ribose)polymerasefamily,member3	
1004	1004	1004	CDH6	cadherin6,type2,K-cadherin(fetalkidney)	
10040	10040	10040	TOM1L1	targetofmyb1(chicken)-like1	
10042	10042	10042	HMGXB4	HMGboxdomaincontaining4	
10043	10043	10043	TOM1	targetofmyb1(chicken)	
10045	10045	10045	SH2D3A	SH2domaincontaining3A	
10046	10046	10046	MAMLD1	mastermind-likedomaincontaining1	
10047	10047	10047	CST8	cystatin8(cystatin-relatedepididymalspecific)	
10048	10048	10048	RANBP9	RANbindingprotein9	
10049	10049	10049	DNAJB6	DnaJ(Hsp40)homolog,subfamilyB,member6	
1005	1005	1005	CDH7	cadherin7,type2	
10050	10050	10050	SLC17A4	solutecarrierfamily17(sodiumphosphate),member4	
10051	10051	10051	SMC4	structuralmaintenanceofchromosomes4	
10052	10052	10052	GJC1	gapjunctionprotein,gamma1,45kDa	
10053	10053	10053	AP1M2	adaptor-relatedproteincomplex1,mu2subunit	
10054	10054	10054	UBA2	ubiquitin-likemodifieractivatingenzyme2	
10055	10055	10055	SAE1	SUMO1activatingenzymesubunit1	
10057	10057	10057	ABCC5	ATP-bindingcassette,sub-familyC(CFTR/MRP),member5	
10058	10058	10058	ABCB6	ATP-bindingcassette,sub-familyB(MDR/TAP),member6	
10059	10059	10059	DNM1L	dynamin1-like	
1006	1006	1006	CDH8	cadherin8,type2	
10060	10060	10060	ABCC9	ATP-bindingcassette,sub-familyC(CFTR/MRP),member9	
10061	10061	10061	ABCF2	ATP-bindingcassette,sub-familyF(GCN20),member2	
10062	10062	10062	NR1H3	nuclearreceptorsubfamily1,groupH,member3	
10066	10066	10066	SCAMP2	secretorycarriermembraneprotein2	
10067	10067	10067	SCAMP3	secretorycarriermembraneprotein3	
10069	10069	10069	RWDD2B	RWDdomaincontaining2B	
1007	1007	1007	CDH9	cadherin9,type2(T1-cadherin)	
10072	10072	10072	DPP3	dipeptidyl-peptidase3	
10073	10073	10073	SNUPN	snurportin1	
10075	10075	10075	HUWE1	HECT,UBAandWWEdomaincontaining1	
10076	10076	10076	PTPRU	proteintyrosinephosphatase,receptortype,U	
10077	10077	10077	TSPAN32	tetraspanin32	
10078	10078	10078	TSSC4	tumorsuppressingsubtransferablecandidate4	
10079	10079	10079	ATP9A	ATPase,classII,type9A	
1008	1008	1008	CDH10	cadherin10,type2(T2-cadherin)	
10083	10083	10083	USH1C	Ushersyndrome1C(autosomalrecessive,severe)	
10084	10084	10084	PQBP1	polyglutaminebindingprotein1	
10085	10085	10085	EDIL3	EGF-likerepeatsanddiscoidinI-likedomains3	
