GSM807842	GSM807843	GSM807844	GSM807845	GSM807846	GSM807847	GSM807848	GSM807849	GSM807850	GSM807851	GSM807852	GSM807853	GSM807854	GSM807855	GSM807856	GSM807857	GSM807858	GSM807859	GSM807860	GSM807861	GSM807862	GSM807863	GSM807864	GSM807865	GSM807866	GSM807867	GSM807868	GSM807869	GSM807870	GSM807871	GSM807872	GSM807873	GSM807874	GSM807875	GSM807876	GSM807877	GSM807878	GSM807879	GSM807880	GSM807881	GSM807882	GSM807883	GSM807884	GSM807885	GSM807886	GSM807887	GSM807888	GSM807889	GSM807890	GSM807891	GSM807892	GSM807893	GSM807894	GSM807895	GSM807896	GSM807897	GSM807898	GSM807899	GSM807900	GSM807901	GSM807902	GSM807903	GSM807904	GSM807905	GSM807906	GSM807907	GSM807908	GSM807909	GSM807910	GSM807911	GSM807912	GSM807913	GSM807914	GSM807915	GSM807916	GSM807917	GSM807918	GSM807919	GSM807920	GSM807921	GSM807922	GSM807923	GSM807924	GSM807925	GSM807926	GSM807927	GSM807928	GSM807929	GSM807930	GSM807931	GSM807932	GSM807933	GSM807934
10	6.379349534	5.551085803	5.439633531	5.500150429	5.786289644	5.81406789	5.755302069	6.30655416	5.37269694	5.521839949	5.829543383	6.17597164	5.722975431	5.844079574	5.884838474	5.809340556	5.362657462	5.955064041	5.091783151	5.311361565	4.931949758	5.14116803	5.503615136	5.520398837	5.821074647	5.551162166	5.560123649	6.325439794	5.227620566	5.404183994	6.237121257	5.334581002	5.668180742	6.042962093	5.941051697	5.596265966	5.923454219	5.738376925	5.900986356	5.562258397	5.439757756	5.737943591	5.88932783	5.629395815	5.908944125	6.463210152	5.801125567	6.066732461	6.010939046	6.514477256	6.126259336	6.286024865	5.921894548	5.920998454	5.892060497	5.819923956	5.996012843	6.091187463	6.021221601	6.031377962	6.214875992	6.133011248	6.270042137	6.45790188	6.637270372	6.448393404	6.232823051	5.999237564	6.392973034	6.687609817	6.097326885	6.155161866	5.977149616	5.712527122	6.152731497	5.902212003	6.015429485	6.229446505	6.011106416	6.263487587	6.33073167	6.339950836	6.062318262	6.675182718	6.531671293	6.160715504	6.226670418	6.143998105	6.376985499	6.106834009	6.435298465	6.614539382	6.257153917
100	4.903603583	5.009954696	5.115739026	5.167668652	5.083582323	5.138324119	5.550779223	5.187174451	5.212397654	5.375153336	5.366843268	5.166428635	5.306188321	4.977946464	5.089667933	5.26178032	5.078451881	5.317058006	5.113525487	5.422853119	5.686998002	5.271139941	5.153135896	5.019497455	5.16964403	5.489934604	5.096881956	5.302609209	5.565777751	5.205289733	5.053251107	5.188457105	5.2133536	5.259001706	5.524351999	4.935587129	5.297712044	5.315555821	5.213393287	5.317087862	5.352310249	5.215416872	5.120122247	5.250190577	5.339484497	5.644205494	5.40573018	7.162623317	6.994910055	6.092250798	6.817805101	6.831632591	7.166220674	7.436298629	8.752139797	7.146238082	7.345872392	7.603693561	6.403209802	6.259192323	6.440266411	7.087689809	5.808325989	6.287300679	6.370901547	7.069810432	6.344780152	7.535981549	7.899081032	6.538549163	7.82758167	6.995760991	7.118222308	7.925061733	6.856540908	8.012539385	7.690577611	6.953999245	7.391027893	5.864485011	5.82892809	6.30014331	6.234256127	5.730298932	5.851987853	6.022630545	5.887912819	6.167204703	5.9546912	5.95840456	5.786268417	5.888492168	5.834394709
1000	7.672074209	7.78027992	7.747215171	7.859519416	7.915374235	7.881664769	7.782365093	7.542320751	7.843312388	8.143522502	7.705392851	7.701826252	7.714363503	7.944184933	7.76275857	7.782826906	7.893764573	7.754532429	8.156632653	7.373716761	7.61703466	7.86606411	7.544399836	7.861043815	7.757739554	7.827883105	7.767692564	7.072536465	7.702829741	7.841646053	7.671115364	7.860733186	7.727741535	7.729783509	7.430446427	7.878590668	7.676309876	7.60148128	7.678582619	7.746277804	7.654189673	7.445472099	7.753560249	7.52943167	7.397648408	7.541201575	7.541141647	6.075411633	6.205318636	6.379114814	6.316158089	6.85002148	5.918872658	7.650078727	5.77593293	6.130095813	6.342672406	6.906141913	6.6043274	6.374731671	6.639742924	7.135007176	6.179611771	7.248925256	6.706743966	6.824059528	6.468786974	6.15691216	6.870222493	7.196630247	6.141046998	6.116601126	6.905198659	6.079493871	6.312042019	6.494137835	5.908515205	6.187493503	6.529681098	6.358475455	6.400088951	6.60663089	5.988261779	6.613687506	6.396865939	6.573425721	6.403188925	6.511985298	6.461561081	6.19645522	6.345858462	6.758372805	6.295378578
10000	4.152414634	4.010073293	4.050340712	4.018737914	3.983840909	3.992670681	3.888721043	4.120259629	4.164255741	3.929931442	3.819783368	3.93513987	4.182752193	3.916074179	3.934632197	4.280369844	3.929016284	3.991161399	4.024429013	3.828853357	3.963342918	3.908251138	4.007259645	4.129338331	4.159744498	3.983612136	3.935608663	4.082565918	3.862612021	4.048486204	4.09791884	4.007908042	4.231559601	4.084883126	4.27122153	4.055753063	4.082917367	4.127397206	4.073527388	4.073634437	3.875469792	4.2365075	4.251773701	4.237474611	4.523447007	4.551115347	4.55337686	4.384905945	4.342752948	4.649687311	4.800480925	4.666466538	4.680330556	4.326224977	4.416250195	4.659664747	4.406817484	4.64250823	4.512832121	4.593695684	4.462839118	4.564076255	4.574517262	4.673834825	4.603239226	4.598945819	4.495673293	4.518757151	4.625644532	4.47467302	4.609283473	4.603239226	4.656786052	4.474238224	4.575956929	4.487045352	4.510433544	4.494623747	4.447489791	4.682717716	4.652940242	4.604054754	4.579802457	4.666176078	4.697060632	4.632817209	4.672993529	4.603239226	4.701080832	4.494204927	4.678773246	5.085980413	4.629647559
10001	5.368089364	5.565089673	5.25953239	5.475387911	5.522984967	5.480914822	5.933341596	5.335943415	5.699003934	5.303839495	5.719782815	5.43296943	5.133347331	5.591719098	5.232322962	5.216933384	5.44079732	5.36987814	5.693450546	5.485130241	5.541168818	5.829795842	5.378549612	5.104978292	5.241369056	5.401310488	5.286979764	5.207415787	5.383519242	5.208587917	5.255194294	5.788522042	5.18061181	5.347642975	5.25126586	5.395608304	5.171852769	5.111447906	5.317679219	5.037576632	5.598760358	5.243780985	4.980079798	4.988967864	4.6719786	4.838721627	5.045125431	6.363055975	6.251090243	6.085841013	6.09080743	7.390579746	6.009933814	5.96794255	6.217564243	6.162728594	5.765947319	5.841541936	6.012098111	5.859351014	5.889953941	5.71303305	5.234098977	6.234905263	6.001664276	6.084797138	6.117582108	6.243348775	6.367336967	5.835792292	6.619332537	6.285841265	6.225812245	6.099815138	5.864348268	5.951999717	6.124585867	5.90822503	5.92507271	5.529216662	5.494218079	5.833809016	5.678579383	5.683309093	5.716351394	5.696569663	5.63770037	5.917381853	5.823570022	5.543470994	5.934775176	5.479760767	5.897830213
10002	4.232358356	4.365250006	4.660357065	4.343778402	4.318478917	4.419422408	4.310655078	4.382126956	4.364329941	4.513109289	4.429002143	4.42401483	4.642310472	4.406916655	4.41062007	4.588350269	4.238931472	4.472952266	4.356003306	4.20176118	4.444931601	4.142623394	4.379772641	4.452674784	4.350577276	4.342081304	4.376136399	4.508652903	4.310475067	4.380541244	4.545931067	4.118038167	4.445701055	4.410382143	4.612858929	4.527858391	4.479573009	4.582763342	4.258700555	4.516902678	4.556724295	4.493913553	4.479010105	4.399754934	4.671352368	4.495221697	4.648016994	4.669985796	4.765487934	4.737579168	4.773577339	4.750990409	4.805680814	4.741505044	4.890191453	4.867916653	4.884093272	4.852046484	4.798234752	4.860777151	4.944571263	4.808244185	4.913259514	5.079078597	4.706850917	4.868512156	4.799594191	4.743138953	4.840860436	5.001711949	4.833852516	4.918659859	4.793874607	4.764408365	4.827970203	4.842843327	4.738886423	4.860253366	4.790807859	4.833800259	4.97175015	4.972263331	5.263945196	4.862004497	4.899382934	4.834534118	4.855307924	4.919697503	4.898687199	4.872219812	4.937446869	5.124263066	5.140618982
10003	3.417461982	3.581575245	3.555588783	3.632098722	3.596571375	3.72314347	3.591896592	3.632233576	3.589340701	3.632363786	3.534976716	3.372618267	3.454319724	3.438569847	3.440695484	3.433073389	3.615131584	3.465034879	3.541430034	3.628035514	3.501152072	3.395395952	3.520215207	3.487023094	3.655700017	3.564601327	3.576233001	3.527617517	3.360581215	3.481731171	3.520810854	3.500299251	3.535251833	3.466334746	3.519886277	3.408495162	3.565650696	3.743321915	3.518163746	3.646878959	3.517435382	3.532641536	3.672862762	3.536748961	3.566342838	3.840462414	3.539052854	4.020198762	3.972883167	4.204456344	4.439284025	4.572193613	4.311143936	4.149503827	4.227343762	4.144442217	4.213780852	4.320017018	4.202653372	4.288374451	4.15388766	4.238430041	4.270662247	4.126969533	4.378850914	4.162080941	4.253669403	4.140355535	4.192099611	4.372839723	4.21901995	4.374477431	4.177933445	4.305811733	4.219097606	4.428419988	4.217162015	4.362277823	4.026894921	4.078131802	4.189910581	3.947176312	4.203941758	4.066663156	3.957140651	4.223287223	4.037102759	4.047080806	4.113488461	4.352237165	4.157304974	4.216720462	4.158010363
10004	4.145291813	4.345363049	4.413066502	4.278934412	4.369663322	4.132825022	4.379503291	4.445451892	4.024983488	4.244273918	4.136527977	4.164965845	4.385483326	4.179762491	4.35923078	4.565724024	4.199799798	4.267141972	4.125908652	4.603436894	4.101179959	4.254085489	4.457790133	4.162511286	4.631746671	4.24371202	4.121629858	4.603965725	4.341678853	4.241604645	4.342772997	4.243662487	4.315882479	4.457450434	4.420005147	4.124525651	4.292158849	4.390132627	4.257990417	4.217837391	4.485654099	4.382990831	4.350596211	4.339084376	4.577838938	4.635228126	4.219604559	5.530701947	5.45106677	6.608212359	5.861053205	6.417113022	5.809893839	5.692578216	5.972803665	6.150004408	5.81732155	5.781605192	6.125922832	6.076250582	5.618443693	5.637697026	5.834681721	6.331737259	5.758687634	6.026173653	6.692382579	5.615693822	6.777497254	6.137897984	6.581951974	6.303416434	6.297014887	5.828321818	5.878991436	5.63292319	6.269487033	6.017019493	6.006880571	5.241355047	6.072839063	6.338780883	6.561170329	5.949041558	5.938723147	5.817877351	5.825284483	5.735909589	5.438766786	5.629725097	5.40339045	5.933919637	6.120588624
10005	7.560516948	7.74735111	7.815523494	7.868791056	7.79526289	7.657136527	7.075197397	7.59695171	7.577022433	7.47822806	7.963736544	7.432875344	7.069747743	7.911609079	7.563632554	7.654336767	7.533496019	7.213743048	7.747386245	7.193396851	7.411234554	7.543175527	7.79117421	7.460332206	7.444363958	7.365085165	7.596015843	7.703215842	7.454770797	7.547092721	7.739896158	7.576765532	7.599511623	7.75597159	7.234514166	7.521661488	7.617408682	7.461724172	7.695284144	7.715529303	7.932480956	7.556939956	7.592501868	7.349261905	7.231644596	7.523203495	7.30157909	9.152710463	8.683107691	9.038837854	9.337672623	7.411011925	9.29999721	8.660558201	9.279777913	8.947279057	9.23687866	9.089995785	9.220634122	9.193457478	9.046306179	8.982764431	9.431353535	8.0682598	9.112651555	8.921921421	9.570776323	9.165817964	8.697937023	9.191271344	8.886147324	9.528924532	8.952118439	8.560165915	9.274255241	8.494636595	8.993308924	9.124557324	8.916815719	8.896338037	9.445753316	9.450882468	9.753071716	9.669932414	9.388856447	9.425210592	9.209334011	9.352198896	8.880466064	9.099956827	9.29876394	9.168262747	9.04954807
10006	7.478984242	7.391425898	6.889686104	6.960150053	7.137960895	7.2228838	7.618371262	7.40626084	7.709769067	7.290204752	7.427047106	7.409607147	7.156157787	7.483308827	7.246328528	6.697070175	7.593259531	7.211088458	7.631987234	7.694945711	7.547247312	7.630520109	7.012072661	7.130939084	7.258767331	7.645517618	6.785343004	6.938405946	7.274299696	7.210468499	6.978624786	7.617564796	7.105310138	7.057327556	7.078201926	7.293018972	7.179688554	6.977510598	7.444779572	6.740450257	7.366904422	7.096410631	7.021967264	7.130532925	6.921651604	6.28339284	6.670372213	8.916077639	9.014729117	8.749255765	8.918661312	9.409835611	8.196554886	8.504725466	8.595909683	8.306774882	8.528390788	8.349520958	8.487228647	8.532755291	8.325820438	7.899393535	7.85350117	9.116658364	8.873547855	8.589371299	8.473335378	8.601540097	8.57309352	7.83092224	8.942411382	8.269322823	8.599724401	8.710536071	8.973197217	8.491127299	8.727121766	9.075898657	8.628809902	8.889252819	8.852571817	8.077125733	8.242217948	8.353212386	8.546226807	8.91509852	8.706313004	9.053508323	9.131199813	9.113834749	9.368395669	8.936252692	8.587841908
