gene	logFC	adj.P.Val	score
FOSB	-2.58952011015178	8.9581193083902e-06	13.07133599859455
C1orf21	-1.63053507072321	1.26175546405802e-08	12.87963697048201
SIK1	-1.8849705730625	2.27052744070224e-07	12.523505558017858
USP46	-1.47716832213393	8.7730729532161e-09	11.901321024751738
UMOD	-2.90873007460714	0.0001279892632158	11.323181402309476
PKP4	-1.15407147459375	3.89749728464917e-10	10.858905681989986
PCK1	-2.38492145154018	5.3247317461961e-05	10.192444213086247
MYL9	-2.14315525345536	2.11956545853266e-05	10.016578652296008
EPHX1	-1.44338780573661	3.59328617153174e-07	9.30192454109835
DEFB1	-2.39664880916964	0.0001752189994357	9.002816653287656
