gene	logFC	adj.P.Val	score
IFI44	3.18416196388839	7.23098372031754e-16	48.21076779332978
IFI44L	3.90609882056696	8.71306609121856e-12	43.20078498015
MX1	3.24147248708035	4.91230657680955e-12	36.6568870350365
TYROBP	3.30501829393303	1.20846484112341e-10	32.7783980000513
C1QA	3.58156584416964	1.1070599695015e-09	32.07589072515699
MX2	2.84281248072768	3.75416990604498e-11	29.637701934478866
HERC6	2.78701186265178	5.4945485076189085e-11	28.594931194652663
MS4A4A	3.32207713320536	2.5410543044159303e-09	28.55320662895314
IFI6	2.964539776625	3.35863352608071e-10	28.085567753781387
ISG20	2.63155145505357	2.6522308155359696e-11	27.83231102875576
