gene	logFC	adj.P.Val	score
IFI44	3.18416196388839	7.23098372031754e-16	48.21076779332978
IFI44L	3.90609882056696	8.71306609121856e-12	43.20078498015
MX1	3.24147248708035	4.91230657680955e-12	36.6568870350365
TYROBP	3.30501829393303	1.20846484112341e-10	32.7783980000513
C1QA	3.58156584416964	1.1070599695015e-09	32.07589072515699
MX2	2.84281248072768	3.7541699060449796e-11	29.637701934478866
HERC6	2.78701186265178	5.494548507618909e-11	28.594931194652663
MS4A4A	3.32207713320536	2.5410543044159303e-09	28.55320662895314
IFI6	2.964539776625	3.35863352608071e-10	28.085567753781387
ISG20	2.63155145505357	2.6522308155359696e-11	27.832311028755758
CD53	2.88377375545089	2.4911393006346e-10	27.694615367077866
OAS2	2.58443298262053	7.301449110975449e-11	26.197339949827416
IFI27	2.1447794976875	7.64030373916328e-12	23.843276411205448
HCK	2.62055754094643	1.6535474839964802e-09	23.01264441473195
RSAD2	3.06547772233928	3.84840541642229e-08	22.729656472206234
HERC5	2.39340398965625	4.04449361888201e-10	22.481568807874762
OAS1	2.53049211465179	1.76115609595296e-09	22.15243950975897
OAS3	2.57568095829018	2.9022677995979504e-09	21.989264499925763
FCER1G	2.52910766026339	2.0251126219449e-09	21.98692597247804
ITGB2	2.69294689967857	7.99695808390178e-09	21.804993503343674
